name,MW,logP,MR,AtX,HBLA,HBLD,RB,PSA,DT,M,LD50,SA,smile
Fingolimod,307.48,3.2,92.93,22,3,4,12,66.48,0.61,0.14,5986.27,86.393,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N
Methylpyrrolidine-glycyl-glutamate,315.33,-1.24,74.84,22,9,5,7,150.03,0.76,0.35,2195.36,80.866,CC1(CCCN1C(=O)CN)C(=O)NC(CCC(=O)O)C(=O)O
Donepezil,379.5,4.36,110.13,28,4,0,6,38.77,0.73,0.23,595.33,72.286,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
Triheptanoin,428.61,5.9,118.08,30,6,0,20,78.9,0.37,0.53,14778.57,82.746,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC
DL-Alanine,89.09,-0.58,21.29,6,3,3,1,63.32,0.79,0.06,1409.95,95.733,CC(C(=O)O)N
Acetic acid,60.05,0.09,13.31,4,2,1,0,37.3,0.71,-0.06,3467.62,97.555,CC(=O)O
DL-Tyrosine,181.19,0.35,47.42,13,4,4,3,83.55,0.74,0.08,1796.39,89.35,C1=CC(=CC=C1CC(C(=O)O)N)O
DL-Lysine,146.19,-0.47,38.52,10,4,5,5,89.34,0.6,0.15,1676.09,93.821,C(CCN)CC(C(=O)O)N
DL-Glutamic acid,147.13,-0.74,32.48,10,5,4,4,100.62,0.35,0.33,3170.14,92.664,C(CC(=O)O)C(C(=O)O)N
Blarcamesine,281.4,3.53,86.28,21,2,0,4,12.47,0.36,-0.1,137.4,81.461,CN(C)CC1CCOC1(C2=CC=CC=C2)C3=CC=CC=C3
Racemethorphan,271.4,3.38,81.37,20,2,0,1,12.47,0.77,0.39,145.0,65.645,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC
Tocotrienolquinone,440.67,7.52,135.59,32,3,1,12,54.37,0.94,-0.02,1147.51,75.774,CC1=C(C(=O)C(=C(C1=O)C)CCC(C)(CCC=C(C)CCC=C(C)CCC=C(C)C)O)C
Lovastatin acid (MSD 803),404.55,4.2,110.84,29,5,1,6,72.83,0.75,0.08,390.76,69.114,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
Desipramine,266.39,3.53,85.84,20,2,1,4,15.27,0.64,-0.02,429.39,73.892,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
EMD 77697,348.42,4.37,100.52,26,3,1,5,34.15,0.62,0.43,6.93,73.082,C1CC2=CC=CC=C2OC1CNCC3=CC(=CN=C3)C4=CC=C(C=C4)F
Cannabidiol,314.47,5.85,97.04,23,2,2,6,40.46,0.72,0.07,426.5,79.891,CCCCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)C)O
DL-DOPA,197.19,0.05,49.09,14,5,5,3,103.78,0.53,0.26,2042.91,87.531,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
Gentamicin,477.6,-3.33,119.93,33,12,11,7,199.73,0.71,0.1,12250.44,69.666,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
Fluoxetine,309.33,4.44,79.8,22,2,1,6,21.26,0.8,0.16,1068.53,82.456,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
Lamotrigine,256.1,2.01,64.11,16,5,4,1,90.71,0.71,0.08,277.83,85.694,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N
Bromocriptine,654.61,3.19,164.16,43,10,3,5,118.21,1.39,0.05,100.75,40.526,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
Naltrexone,341.41,1.53,89.8,25,5,2,2,70.0,0.79,0.26,573.36,53.222,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O
Mirtazapine,265.36,2.48,81.07,20,3,0,0,19.37,0.7,0.05,526.51,69.256,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
Curcumin,368.39,3.37,102.02,27,6,2,8,93.06,0.91,0.07,894.92,78.166,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
Trolox,250.29,2.49,67.31,18,4,2,1,66.76,0.82,0.67,3832.14,76.995,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C
Folic acid,441.4,-0.04,111.89,32,13,7,9,213.28,0.87,0.06,1907.57,66.639,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
Memantine,179.31,2.69,54.32,13,1,2,0,26.02,0.7,0.19,277.49,62.454,CC12CC3CC(C1)(CC(C3)(C2)N)C
